Name,Photos,Paperwork/Receipts,Status,Type,Style,Brand,Model,Year,Serial Number,Link,Date Acquired,Purchased Location,Replacement Value,Purchase Value,Maintenance,Accessories,Notes,ID,Asset Link,Record ID,Checked Out,Date In/Out,EPC,Location,Linked Instruments
K&M Mic Stand,2022-03-31 21.48.00.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/VQYECwWllWXQMCDBTHB3nA/Mwk8xfsj5EWXAAJF90mSfLukg2wzzsObcusBGNarshmGTZ3HEeWFzo2RP4VgniNqYOHdHZCNuUMQ0_4HoJyLX02QqqAt-P1T9riGE7UkbItVAcOaeMxuBbqW7nm1Uy3Z2CcWlESaKnqGmiUxoWWcHEiGtbKxvNrbzpuvfePCfVU/1D9WYyh1HVwld_MDAklefVh27BKnTXTUXrItC9O1ALc),Screen Shot 2022-04-01 at 8_10_29 AM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/ySsx4A6V_c1gC_nCkR7tyg/qH14qLGotBMq1dZ147PXSaEJgK2Bn2GRtDkIYyh7FxZ8ssyD63VxyapeoeA8qiO-cyyfKMWh7TkkJtIK_6Kn6EMgxE3EXg6UHwvXzT7Z8LDdZ9a_9Zc86hhlkh5iq4GdkHm7LMDr2gEfTgKmEre1Br7FISMeJvEPCDsu5UnVNVo/mYEFoIgepma4k-XOwY2gf6qtc3aZ994yZEHFadV-630),Current,Stand,Mic Stand,K&M,21020.500.55,2019,,,2019-06-11,Amazon,$80.00,$66.38,,,,97,https://gearcheck.nicholewagner.com/item/97,recbeFq7wBpS5Hky0,,,,Car,
Guitar Stand,2022-03-31 21.48.25.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/s_laW_l9d9e4Lb8wKaFvNw/J0bXoO5HLCtGAJVnwPkRKfnubNEqc2ffEze_OW1_8RRP9K788TNCxTPY2lCkhVxOgWGMM9oG1drj0lMIo8REV9fkRNhQrOL-PkALXbeg-1rAQW1L4sbYLNzf82qlbGgIKPxhrSIbVDpITSfS21GWlIZLR9UYEeArUII1gFQiSoA/lJ8qNwGjCcwdfaDOUBDymaY_Qu8bgWOpVsXanEJhWPg),,Current,Stand,Guitar Stand,Hercules,,,,,,Amazon,,,,,,66,https://gearcheck.nicholewagner.com/item/66,rec4M12RDuCYMrCdr,,3/25/2023 3:33pm,E200001D700D02631780EADB,,
Guitar Stand Collapsible,,,Current,Stand,Guitar Stand,Hercules,,,,,,,,,,,,126,https://gearcheck.nicholewagner.com/item/126,rec34E35KpWqLoZ16,,,089600000000000000009411,House,
3 Guitar Stage Stand,2022-03-31 21.47.17.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/UD---AVEbQcRmdj-nVJlaA/qwWYCLPTdaBxqZpqS9dZtpxBRaZ9OPZ_oDmp46fAp3kFqv8mZl7aoVvxCCi-Mbr6rhrZDuRtp-AMgYcNlLcK7Osg3bDMyN5d8slGLsqBH3dmPHdG9D9S6z_avOeEeVQJT1JSPLQAvx9mqOLYtCGMDmeeCW-LH7C-gNXMIrvM0BQ/usJGN2aUR2g3a7s3RaEUGOyRZTNzE-eSulgouc7bT1M),2022-03-31 22.10.12.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/2dABjkKNc8mHmXAiN2tVdg/3GJvUJ3TB93PFxFf5O4E-AaSy0PLYDzPOYErqgmmrx6rcHX5TeTLiJVNT6XOQlnVpNWC5IT4VeDc3Ct7V6HmBHcVrsbwuarRoNdocuKMEcaeaGxsWev7SsTPY09M7K-xHCvoXr8X3aaPNuol0blyW4037FGLfCozx48jWANOzKo/5JE_PrR-E2MvZqEypMEKPA3dEJOwU8q7YqTgyaySXWE),Current,Stand,Guitar Stand,Hercules,,,,,2019-05-09,Reverb ,$86.00,$78.00,,,,64,https://gearcheck.nicholewagner.com/item/64,recJXwK9PWQrIhCQK,,3/25/2023 3:33pm,E200001D700D02791780F43F,Car,
Lava Cable 1/4” Pink 10ft,,,Current,Cable,Instrument Cable,Lava Cable,,,,,,,,,,,,118,https://gearcheck.nicholewagner.com/item/118,rec2CAAuctPOcrXy1,,,E20020170508000000000057,,
"1/4"" Cable 10ft Woven Wrapped",2022-08-27 09.45.37.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/3q3ZCwoMG4diKnQPIExpnw/ymWkJsqiQHYKPuN-idjtDjcAjHkLmXkJrX-3emkmoVFMt8HQT1tspeSWePh3NNt304Thwm2JkmJeoRUb-4n9pFyHoG5d3usKABi9y5Eyc58LPBP8d0Kd2e0QP4irIa9g6Qo07ncEHAH5D5uLUzz8vne5WU7kEjKo2A85agYiUNA/5plNDkcaqMHl98HPeLpGJcH6iKgXyrASVWIGwfhKMAw),,Current,Cable,Instrument Cable,KIRLIN Cable,IWB-202BFGL-10/CA,2016,,,2016-02-15,Amazon,$16.00,$10.95,,,,80,https://gearcheck.nicholewagner.com/item/80,recjw48QsF5FF7BID,,8/27/2022 10:10am,2018081410257A031A2000DC,,
"1/4"" Cable 25ft Woven Wrapped",,,Current,Cable,Instrument Cable,KIRLIN Cable,IWB-202BFGL-10/CA,2016,,,2016-02-15,Amazon,$30.00,$25.00,,,,104,https://gearcheck.nicholewagner.com/item/104,recE8rdpkCJwKiW7l,,8/27/2022 10:10am,2018081410257A031A200140,,
Rosie Country Western,"2019-03-10 11.32.48.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/C95sQfFsvS3OntgHwWXY7g/mgwK6iu32CZGMd0K6o05jrty9NP-MwB1dQmvmXYar582MIggRHxt094z-p7i0Lwyq8qU0iyONHC17NIGg2l8_HewT6PVWy4_LB-bQw_Fk_kv7jF0qY24dYJ7qR21pRkGy8AeaiJHEMh15-POhrblCOySL5kCp-ikdH2Lpz75aic/CYzLHORSFajZTXshCsAlwyetyl06QBp_gcgZY-MLDME),2019-03-10 11.32.57.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/Mq8oY4Ncnvt-iZfO4GE17Q/9ez4XaiNABEHwjMiJgo_eivBuwxoxOV4oOtSNWzmLlvkOOtvAdmLbEJ4MliTizoQQ_M_geebb3O-GDWHjW4kYZurocOvZydZTMEb7HXz53UcHERSur4SxEVGjh99C1Y2Fj9DaT9jTwgGFEwXJPTgywsvnxpkR_WopXFO-OfiZS8/2bicQ3ojG-eoDvlWC0SWkm02eTEDTiP203TFPQTEEp8),2019-03-29 00.38.05.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/UIVP6r9o5yq1EoiJl-RONQ/ng_BRFEurSc1Lz4l7mAD8t8_cDnX08R7FF7TlU1DHlGcQC3CHKwU2rrNruiAzOX9wI3pMre6axPwoNWfqOlgFcD8R2hNVjAD5AIJ9muVELG-5kuxARHszpRKguubP1bSIPCb3vnW2BBqkbEuVVIMr-_ou-AzCFx5x4IUfV6G0HU/foCno5HGn3BAhrWlCI5S0WTa-TlyjvuxZflyIfyrssM),2019-03-29 00.38.25.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/vQQpzb64n44RiQ4BC3GZWg/SJH7Fxd-6BYMywl7NBrVcrn-Nr-wGbSSf5fYaRObT7ghfvGwRBxafm6Y3npy9l6gl4ZR-tmPcHyx8_GdHTHHjl72d0nsrgF2YhV3SCcEgGuyok92kxiDjQKj2FVrOMfc66AZacC6PO2WdLTOAh6NOEpJSFFUvVfue-LFJm282yk/DSLem4YnlcLzC07NvXGHW9Pp-2GaI6F5aBnQHG9L8PY),2019-03-29 00.38.17.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/FiE6EITbWmq_biq77anQvQ/D2-AoUlXoqwd0XOqNvRzAnREd_bd8SHsWGrGYHb4q_jB39MBL8BERun80uM5OOkoImyy1QtwG5Soo3INVtfOpxHgsRtvhulKtIySd06eLImUpgIoJ6cO5df7W_SOkNOFuiqc_N73q0atvsqMlkclFi6_67NzNqiuJwVcOx0h6jo/E2QA2-tIi2ekLvBr8Pt1TIZfpRgpg17uDzpCVX9cWN0)",,Current,Instrument,Acoustic Guitar,Gibson,Country Western,1965,30114,,2019-02-28,South Austin Music,$5000.00,$3750.00,"Strings - 2019-05-13,9 Volt - 2019-05-13,Strings - 2019-09-08,Strings - 2020-02-26,Strings - 2021-04-27,Strings - 2021-06-16,Strings - 2021-12-26,Strings - 2022-07-24,Setup - 2022-09-25","Tuner,Strap,Strap locks,Capo,Calton",LR Baggs Element Pickup,25,https://gearcheck.nicholewagner.com/item/25,recTcn4521hrloIe3,,3/25/2023 3:33pm,E2801160600002136008093C,,
Bobbi B-25,2020-11-25 12.03.37.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/cQh6KEV0re6meuayN6K0Ww/M3Q5yUcUkubCIimNnAA5SOC-aSxb8FQUkdK6f2-VO5WtgU0n0XQks47ZSZAaxRO3MAqtvMTgDSoXIyuprNpxx7rwMye753MjWtwQ8pMCQbwkCCUoBLFHP3EuLHe6kpdum4mhgbslG3RvQODBdd_hJBz5ReVgdTnjUAQe1Bomz-M/8zrVmvnVvnrbCUFuv7zQXdpnNfu9DtYFZfKMC9VPQV8),"2022-03-31 22.12.09.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/q8XzzbYfNmeCaUERLwM32g/b0DBabVQQFfBtfiy3NI9KcrZKDIulqwm0MfcvgCfXTVWEfpsdE_Vj4J6f3xUiMrXFuWK4SBJBfYvSmLVIcIqIbcBYdOKoera1tYcPms1-XsJKoTwB1n0Xr5LTuIHBLVAtEn4vgrAmY1-94N3PUkUwWNojyAu3NEAEQCDctb9wZI/J5Eq1vc7z8iWsT0YkBmjsv6SKOz7LnT1imcgrfEYxOE),2022-03-31 22.18.40.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/YqbdsqzJdVOJCmRT8pysWQ/hYUf-oYx0CjRZluZH_no6BRyHMfx0ueWwB49nD6dmfaOW1jYgg_61rfwCK-1en4P31rjniOSpAa2nT1HWiX0E_E2TAYAtHjOP-e4B93AXTYUPvFGYTuBMji5thWYXj1KrfQvh5UEmQRo3GudAVYpM4qCK4TmJOXLTp8zksdCD4Y/2Bj2kaIj5M1JDppWbuUTf_ai6CR0bol9Qyuo3Pk5OYE)",Current,Instrument,Acoustic Guitar,Gibson,B-25,1966,804785,,2020-06-16,Reverb,$3000.00,$1500.00,"Strings - 2021-03-13,Strings - 2021-06-16,Strings - 2021-08-20,Strings - 2022-08-04","Strap locks,Calton,Tuner,Strap,Capo",LR Baggs Element Pickup,36,https://gearcheck.nicholewagner.com/item/36,recjHuSfTqaAcHwJ5,,11/2/2022 4:42pm,E280116060000213600823BC,,
Gillian J-50,2020-11-25 12.03.56.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/bH-SwiOSzj7RGnkB3suDlg/VnKmpvmhO5h0FwfFgpbi63ADRtrMgvG8_YJos-4_lREC--hsu4hQQZ0QC5qcbaP_6kVhV4MTTYB9MQcNR8d3u2hTIgcUlUNnhYEkJjBO7SMLN9_VulhwR9XP7Pm6IbXo9HpybDb_OyORaY1-iKoECfQKItkgQm9qxFdqUr7oRrA/Aowh5rehbrYWC4KOp8cZWLLHx4ZQJG4QzWfzU-WXY3w),2020-11-25 15.01.07.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/YRZNRItkKpvj_S3RxX801A/w48tZnM3Hi4lew8hX6SswP-CXC08pWFeqyGCUAtpfdjSXazpandQhY5Vv12ae9eMlHPrd8FTiCPs5IG-VdGWxtGXwlBuLcvwtKFuoI4B-K_5RD6MSI9ibC4EukKhCtpHsAWITvvogOOBWgnuaT0MSkxbXJyH-pOp_4ff_YTqgig/sAXGIn9yjnw0Ddk3ky22-pTlnLD6BE75JY-FKrSOjjk),Current,Instrument,Acoustic Guitar,Gibson,J-50,1966,369171,,2020-11-24,South Austin Music,$3999.00,$3800.00,,"Strap locks,Calton,Tuner,Capo,Strap","LR Baggs Element Pickup

3800 
- 900 (Taylor 510) 2020/11/24
 - 600 (cash) 2020/11/24
-960 (Martin sale) 2020/12/22
-300 (2021/01/24)
Paid off March 28, 21",41,https://gearcheck.nicholewagner.com/item/41,receskXGBp7zwxpG7,,9/3/2022 10:18pm,,,Calton - Gillian
