Name,Photos,Paperwork/Receipts,Status,Type,Style,Brand,Model,Year,Serial Number,Link,Date Acquired,Purchased Location,Replacement Value,Purchase Value,Maintenance,Accessories,Notes,ID,Asset Link,Record ID,Checked Out,Date In/Out,EPC,Location,Linked Instruments
J-200 Jr.,"2021-04-19 11.21.20.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/nv9T7D7IYhlpqstJA4jJvg/QFWR3YJdWo2UdOtIzovhVoveTn41h-PR9ic8ATYtAqEJE0Eli0mCDPBKFq6rglrNx4qHUah03X9obMt3ksiCr2SIYHeiFrhf-PqEwuNBZZdOp1DocH8g_pCYgXjZsJapqK1eQm7It8evBINZ2Bd4MGROXL_4CcEY4AIT4fo4IDg/UiPoUp3A1466PmetMDVo5xCEfA8loxx2zm9pbeN6Pkk),2021-04-19 11.21.24.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/CLlR5Ftow0p4IwounCGElg/d-B2UNxHe_8eKvMxuI0in3-U3KaaT80m-4N7taMCDwC-c2bj4xis1NOOVE1R1BNrMS88Zl1CRPj0xvgQVSO_hOYU8iMOQy9WGkyvXQdzD506rzVIg_1ZgDHn4qwb59oTuZmLoB06EhP5HOZcuAxtEBhTwmTzK604GvKcgmn6F1o/uLk_yFXUrCQN62Zcf1I1DYitxsiqhJI9HB3h6Rii27Q),2021-04-19 11.21.27.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/4wCfP7nROVDwj4yMnUgoxw/h8cjhoYfsRcSo_uQgY5v6DYbDo7TQ9iL_1l__rAAqmuY-ZJNACLxr_VZGhMInbI-Dfs4oCg3pOO81iPh-FMmnzU45c2gdD38WV5gOby84Ge3MKuMJ-X11xPlj47oMUvAZC7-D5VTIxBXpr91z2mDKkVNBDNjdi33jnWNwXfcDHk/VNEPAl_SdNLz7okXKvwNEygWCjtmi0Ne9JhXZMgZYoA),2021-04-19 11.21.28.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/7LPLtuhgBVbrE5IDeeWRow/-iesgZs0_BE88fauAc5YbKHJBxjnouzDll5gqIy0fB4NHs5U-ZpbveEtW_fGQAa7ao_DM7l1zbnpZPqCTYfLGy3-fN1PiE5VzB1CEc5uoas0oqWCy21lJFnTOz3-wwxhcWPP834FZbxeg26PcKGDprZoNzmlbR9GPFO_4oedSy8/jraHWdPKdWOBD6NALLtp8mHCSF04O-CTNf9kuCUpuLE),2021-04-19 11.21.36.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/ik9SDOHt0oV-7lzqGjW2Yg/tTcnFm18YwgdVKSEZL1UqbVWNO6QcVYjYKpo2gc-4Lz1CLlM14dFmk4C0loJ1nMTeW1oDr2v2tHIsyXzSUKn1LlF-NoMX8byWySV-tM5KrCld3pWin27EkWjuRxc0_O_pY6XaStw0tygeFtqEZ6D9KnlP9csur2eDYICj-GpLd8/Ejtnxty22H0ONRYeCfXTWLZKoOYPI8bqqeHwMP1JDpQ)",,Current,Instrument,Acoustic Guitar,Gibson,J-200 Jr,1993,92893009,,2021-04-19,Reverb,$2700.00,$2700.00,"Strings - 2022-03-15,Strings - 2023-08-13","Strap,Tuner,Strap locks",,45,https://gearcheck.nicholewagner.com/item/45,recqllHT3qLOtwFpc,,,E2801160600002136007AB9C,,
Taylor 612,"s-l1600-4.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/99poxX9F5iKX62o1L1kgIA/YfRyGn7QUsCE9w28hdzAqUo9sRhH9XZpHbF5I-toOvOvSVnseMmw1gslbiW3nUVTil8ou-MrTklsm_vCv1KBvba9Xc-T46LYyuSAQty9sA9FR8cJkrjCVjRVFS-h7kW2MPBCHfe_kA_Rw3LWa5kEVA/6jcmW_-tC2DwhAYfKlqFNmJ4C281oMu2wLImltwPtXI),s-l1600-3.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/8Ch_D2A9J47066sn54ZsHw/pMA-bVAUi_gLNJWLCOdOhBHzwy3ep0fLGV5k-lpRHSlBSCBpEpeeZHszimYDXFuqGja9xIKJwOFMEE1NV7nyP5T9S3OGgObcUkoyPYNVvWMY5JOrWJyZ26d0zLpWuOCCTox5TGQMGE_3U5ZiB-XaYQ/o9pBd_3hE-lcfMguGMXP-lBOm7VKYhJH1P9xLNbSppM),s-l1600-2.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/zY68KiUXt9ifmTxMcYceVA/2qDYTEQSgBTfk_Hu5wtbaggI4w8rw6oOliyhddno0BTZxQ2tFm8My5gopzBsEPvjkLfvl_ILLW16jQnwfF13OvKInImgsM_WlnT-u6F1Pv56XgqrJwP4Suv6JmlwapFXeya_hWJQrQjLkiK9aO0Ugg/1Roj3TEzL9Ym9VyiMFHyj2IKh-U9kFrme08WHlvzf1g),s-l1600-1.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/RhbQQH_e4fYJruqd6ruZew/lIUzI7a9a_E4Bby325UNrh80HcrEJyLFlsDQ7ISH_xDMkD8gBUiuAaY0m4I_TiHglao1UdWnynmJtdRrb4RRDz5_7lWE1maI_2BgbDlDOzlnRso-RJesF0WzpdlWyFjH2CysJPVxLkdSKQhMg_sb1w/zMkBzrfJ3UCk41SBQwBq7YbUjAba2rL_Q1No2tAoF_g),s-l1600.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/rk1Z5QidAopi2vgK5aTOmQ/Rg-hcP8HwmIdhZJTuelMEMN8R6LMViEMYH6BjIpJ4A0kTjItDRpsiUNBigbaqym8OhOp41SCeIVNHqdEuY3I-6bmRLqwhjBT2ZLDPui9AjH6eCQWBj1FWcnPpRcioR8hIMF2fBtgPNUPEYNLYGzFaQ/pWlTe9ZQyWVVr7eteA9VN9Nzp70-oFQsqGDvV0Ppe8s)","2022-03-31 22.25.26.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/RMDVV_gIEjoiBJsHKgng8A/HCBu2fWwtJfhZCB4JUz24EDZmuOsjiVPu0eZXf_mfgTdN9fhwIlQaWLBjSHsrt9TyyOWndKvvZtcL3POHdOcNAeDyVFPbUExJe3FdHIX9kb78ZEMPM8wCWovghab38-MFnkEoA1x5t4-5KluyH1px6_rbYB0TLEUi1L6m1QRY1A/C__QhmYpyT4ayBTUeJsBwTrjuUjKHDihjgb-n284NH0),2022-03-31 22.25.43.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/0qqw3Qms-zKnYIdPLAQUig/Ddi5e41XIM64hSSUTrGGA7qE65r2fUjVCqYPG6FykaKtzabkwCHv99Y5WzwUy9zJpzFsUXJ_q4lQP6aLBuiCnGTK102bzTWcu6ny_X83mR5V0vtw0hH4Z8YR45Z1X6Ph64a9Lj4No_C35EIFHdaUhY38rxPc4i2TMSP5DJz8NDA/MwOgnQTFc1DsuWbt9MwX9PLpIl_gKr_2A0-A2IHksEU)",Current,Instrument,Acoustic Guitar,Taylor,612 Custom,1989,7810,,2021-09-01,eBay,$2800.00,$2250.00,,"Strap locks,Tuner",,49,https://gearcheck.nicholewagner.com/item/49,recTN9AkgAsdI4YCt,,,E2801160600002136008092C,,
Parlor,2022-01-05 20.03.29.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/04FwSfzuTYJPjAj7tq2Y4A/ANtE1v3Ecc2kAuDCsmk2qV1O_ozx238fIUHd7VoDwlLjlcONvLTvXlatQa8ms-iyK0wrmg_fEynESQwP1X33bgHnzcaPQ9LG1DhYRfU8d0JsaCS6J9ShdOGUfOuJjwJ1WSFsqJT7yVa6kIX7orkI_OTsgVZCMZGf0NGPUqKb2_0/2avHJfqXykUThJNWTWKP0XVa9yhjIVfVNwvXe-CqELo),,Current,Instrument,Acoustic Guitar,Harmony,Archtop,1947,N/A,,2021-10-14,Craiglist,$800.00,$475.00,,,,52,https://gearcheck.nicholewagner.com/item/52,recswQtR9Pw45RcFs,,,,,
Emmylou Harris Gibson,"kiunasi87gptolmw0ri3.webp (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/dkg5ZX7o31b30w5vdHW7mQ/Q3ARAmnUt9Lrn9JVIzdZK_eLN-zDH1vKATNwqrCky0fnbawMlhXUq0BUGCanZkBgV6VlRxlM-EeRpM6uj70lq1yoezguk7LQrvDG79JAvl6k-0quWlFsYmylN1h3E3q92VfPc-uuxVpWYGbz2a_aguXWmjnNTlTanbPRmeuOd5o/BrKytssDNdQEy9rpQntaCyMeep2Jmy9c2juqsK2UDV4),fxilqvrccesiim7p9s3w.webp (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/cRXE-aMPSjRf99V1zuBMtg/R-wWD-oFztcdRLOBSJDNwKLxCmnlhpLz4c9LS2a6h0X7seKzzzhA1xDkW8yRtMrB87uKHaogYCurP18fi4ofHNaFHe_FEVAjwSxavrK134rft8G4jlgJSkKO-qVrBEwWiCj_oqYzKSx5IMNjxebPfuA2HjWRXQTIcWC7fSBHAok/VjE50gijazTvRfhzzfTbKZaQXlfOT2_UjENAZ_36JuE),naa6fgvqkdmhdzboaobz.webp (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/ugVjDZtxV5nZjL5dE_NGaA/elVA5SNxppos76cyiYxqinMu2w-XBrOBMQpy-1dGwwQJ_7ppG1-s3qrgm7kN_Fn3-6ztUI0BqQEdyn1Ib-xRpDcosgJvdRrDYQjIANyErUpWkB48DgX3ykKTfBZ2CmRQJwx2C00VnFi5Wz3KVJ48pxUPxiaWJGj-5pH_1Z4-Tf0/J6g5rnQCM47_VeuyS6neWjwoFMoTosAgmqDRUPBCNHo)","2022-01-07 14.23.12.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/P2huUcyn4hmQGj5XXPm4zA/Ix5allwyDDdLMKqRDIFs_54OdRVEK7luWCrM1MpXdEVHLLj13GytGZQH6Dac0cKRy8Sgv5dnDbAOT4xLGVvMKQ6gpc708MdOCyS-pzT_-Gkh-HlD24MWYZ-xNHqfxIMWZJvGAo9__RrvTqhcZr6-2FNZqDtVpIb7VDIvmHJclh4/p8xf1yNQ-5_KudXfWhOdDHdThCMCpXwuOf0FM_ATL_8),2022-01-07 14.23.13.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/3kPM75h2Qez_rl-dPeYNNA/ltTPJI0j_Ya0ufjL582hAt_xbqmpVQK23uaeSv_6T-Q8oIE5aHgVker5seEn2SpTIjMDIzu3RUdYomoIoj3W5xt1w-A94sd9Ria7d3yyL5ky_Mvi1WHlUO2CZ6wFolB59wygtjP4Az8HH49DZSazqkilSCkREK4-BIQhESy81uY/PKrbTcOdFEXpKyAEoynkTeaILh_CMnLgw_lxrICr8CY),2022-01-07 14.23.13.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/-2kwdfrK_j1an2IVotcM1A/m9Mm81Pi8yaWFpg5RVSV4rnfA7ubLMetPSWNRIbMXk485phVcaFZ6X-226lFAY1WDEhcE-0jSh35-JE7OKw7wmUCiZn0ETAyr9q-jkB4W_VX-P0W9OviIvOEv6djlgQqEmg-BDJpUV-73FJcDfS6EJvhaUD_54yi6N9cneYYMwE/Jad6H6a3PkhwRXR5cOUbE-F8bEoAIjoX-EHO6KwiZ58)",Current,Instrument,Acoustic Guitar,Gibson,L-200 Emmylou Harris,2005,01235005,,2022-01-07,Reverb,$7500.00,$3000.00,Strings - 2022-08-27,"Strap locks,Strap,Tuner,Capo,Calton",,53,https://gearcheck.nicholewagner.com/item/53,recX5izLx1R4h73RV,,3/17/2023 5:27pm,E2801160600002136007ABBC,,
Gibson Dove,"2022-08-29 15.03.41.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/KM_sr8pZdFM80CPU5MIgug/aUsv0fFwrgFzk3QvTYWe-Uk_jcGWhN9HKp2gH8kzz1GVQY6KLIcUUDLettMjGPh_E0uevA8njtirB_Fgqm7N6RK-7Kfj4_I2GnpCzvg1Eb7okQFZYzTT4a--7wUZ097cYpz-C3luLxYreEzAXXqEO6fSTvVT2_pmxXWd6IP_nNE/0tDNMhwmGjPVfByMqxOhsjf3dZ5G4tqmc-r1q0mk3ac),2022-08-29 15.03.41.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/yTpJ5bk6zErY1d3b7kyGeQ/CtGpZ5AGzbArfL_9au8J1SPt9KC5R3kg7qfMpif7fFeZPVL30NsZqXMULBSXkvJJPlKWX92KU-vaCP235a769jSbKzifti_A2Umxnc4ArkbFCk6NhLxVlD6QtC9n4KZXTMVcNt6cahq7fHdom7PpIihgOslzVSL2cjT1kP9Ym-M/pnRyRN9YtMPxJFx4vtk0lxvYxOlCIey8-S-BfGNKRmk),2022-08-29 15.03.41.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/4Gv4f_yWvdaQvSMrAnEQIw/gyrw1SzWDrcK_lxHqY7HW3TegnzUC4FOaBuCgkeufWAwC3ngHHmAzEnV_oBDBIowadJyDqepNm2Zn_TO7aZfyc9HHLbbMUYkc5HFp0Ew-2uxjgtY6zoVnZwUAu7mO8r-0LXg5BAt7sUDo9fZtPMBnjBTC_FLB-ztRXuxYDF2oME/-UKkxjq3V2VcG9mhfYCGPSNinV92TbZIiMJpz39GNMA),2022-08-29 15.03.41.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/kL-akxB52Zd47vVj2b_rxA/umHQc2fT_sYIqvRM_F71KbxPNd9HTtvDchB7Jfe_sN_sBiu6DtsTsMZ6uCOWFLXyBcoPaPRAqGa9IqD9BChGFuVTV0zrzJ6OIW03uj2tyZCUtVvT8L7XccXd3qIyPyFB30saGn1boRGWKcS2Fma_al2sc7GOunIXF3o6ftU-uIs/8cCbm8s_2TOGWdgoW7nupz17eOfgLK9vWxWQYjy-kbM),2022-08-29 15.03.42.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/pOo8WRCFqapUOzU7FVc0iA/C2wLTMaYyZA3umpUnP9FdRmGWnY3xit2zjTtJiXqdYHkNO_arEO3Id5RTErPRtzkzvqvgG5GaXqFaA8gCgJX5iLe9wQD-JgzKqJKrjOseiiWZXCayJnITrkRH-OcRsjq-eAXcb3zfwBe3bhGA7ubZF76Y6k2r2PXso5Qx4Z0Q1g/sJFGfqdxW9cwhsNbe3ragPCpFH2DT9xsxHmW8pe-_8Q),2022-08-29 15.03.41.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/9UDf3-aKFXSXCzOjxAufNA/nZYczsCGaOb1mlbuDL-9yTxAJwm1onmxHXrwpsGZ_zBX6WBCRjgL9doknbXObPSOl_OW8JQe2QpsSo7C7s6Jq90nzEWwdyDzi41F5H6HdSBSObx4x5swppbP1pEx_dOIcA8wkFst2Tb0AlqBdoY-C7RwKc8JXo_boKpqqwBCso4/bhoaAr2LGM3ereKkzmex5mkri8xmUvPteMm2vH2Z5nc)",2022-08-29 15.03.46.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/9Ot4gnJJvVlcAJtObf1Ymg/BjXHNs3TbTuveys2qTWGr3M69AOx32yoUf6nvkxu2DUZtpuM8GHVyQZdzXgxe7ouAUDvcIhwBbPn1RzFtWJXBGtWfX2jyQsyO3wMP2zTgilLJawfsK8Lfi4huHkpRWuqThxJHWamF4JYIF5JGdiZaWjOywoNkFWCRv52epSQJAc/vJvU858NnJC-Ng2VknVmKh7Ubjqp6Wg1bo-rBqLwPlc),Current,Instrument,Acoustic Guitar,Gibson,Dove Custom,1973,A14608,,2022-08-29,Reverb,$4500.00,$2100.00,,,No pickup,105,https://gearcheck.nicholewagner.com/item/105,recrPa0MetUCBkZAa,,,,,
Taos Strat,"use-guitar-fender-stratocaster-us-strat-plus_0.jpg.png (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/mW4uVyBqhgOTEOvANvqUgA/SjexU9Jns-w_GWJMyLizt74g2V67s-spal4rkkO_xk456nMtUG5boYiCrHJyIZGMWaWgkXLw59k7SSLjc9yeY9SK7tgQB-umNr2EqhEaGUDNAc_x1Qnk0tOeV6FA0kx5p1TsiRvCY8fs4MiO8YG9UQ/v81V9SNj5jr7qMVL7Zoz4fMeOFs8DsO2vmnqYu69pIM),use-guitar-fender-stratocaster-us-strat-plus_1.jpg.png (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/w5HiJQ8alCxB972WG1XdRQ/3MGvthc82IjRwgIH9NCSC48AoBs0X9dxBxufbxiLJo6OQ6rezffJE7eHN_u9Ognx6dZjsrQb8peWE_VGgLsQAovKhdyzBllwG6hlHVx-qgxc0K6uSL88f-gP4VDXulnEaol19-Z-H2NgtZAUmvymfg/4wQNd7---juJGHTpx3HFPjppIP_pcHURvP3yBCnRIlY),use-guitar-fender-stratocaster-us-strat-plus-1.jpg.png (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/hiSSKNEOex-rF4t00mhrpw/ZGrO_kXPIrCnKIZ2Hq7Y73y4VZQpssJDOQhxylyu0vu9V1Jx36cUGn8tpMsVwI9DEoY8lJnY564P_z80pkdN2RRZzD63v4pwRf6lmS0QchN3km6bXuXqeZk3vLUgFBbQtU3NgycpI5QFef4BwNrq_w/ug58MwHa2JAMRU3DyOos6hKdO4H1qHMp16s1RS9jx_k)",stratinvoice.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/nkhG_Me2ahhr7bg0zqQINg/8kyS04qRnHMuP6I5IvMtcOlp7zInJa05g-ZpBPWvCzmmfutD_jdDoyqqR-v2dX-FAbmeENr_45Wuurexr0GMZWYvL3kBwmNm4RPbGC5CtJQ/BBKjoW0GZNLSUo4GkJchBG0CP_rFkAmNUPl8tikZXzs),Current,Instrument,Electric Guitar,Fender,Stratocaster (US Strat Plus),1987,E474014,/instruments/4332,2015-10-16,Chicago Music Exchange,$1600.00,$1300.00,"Setup - 2020-02-08,Strings - 2022-07-24","Strap locks,Calton",,10,https://gearcheck.nicholewagner.com/item/10,recGSJxfhojRpIKJJ,,3/25/2023 3:33pm,E200001D700D001819000309,,
Telecaster - Partscaster,,,Current,Instrument,Electric Guitar,None,Telecaster,2018,N/A,,2018-07-01,Reverb,$1000.00,$400.00,Setup - 2022-09-25,,,21,https://gearcheck.nicholewagner.com/item/21,recSCVC2IFNUcoyFU,,10/15/2022 9:01pm,E2801160600002136008094C,,
Epiphone Casino,"lee7cx4auawmzurwkv93.webp (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/tzmhNd_xCaB55S6XMaGFCA/VBwKjRpW8d0sUOgDOVB4LtT-xwQYqT_Z-zg3SKE7R88uPSlAEZ6yy-ceMc0HY9CjI3z7sQE3z2mi98BBZPHk9pMhW41rpQZD3ASn6qDvRBWJG4Ro3b34ZwrCtiPfcrLTtolK1NEbnhlO6dIb7of6Qd5quECLgNH38WgTFuyE-1E/yq7g1wf5-tAogn_z2Iu0tIyFdEUdwHwV4RUAQ1-fYFk),terpluwcghfevhdcjslo.webp (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/Q-BieCddwsNg0RV6MPfTww/rrAiZwiOvKtI8u9vfoccTvsrzllVFZY1_lvFPq63MXNYifkY2DaJyg87cUL1Kw9oWH9YXAmFosISUpNAQNR3kCQbfMwih5qoU0NPKiBqPXdVPtnrHQJYHJgs7PCa1FRsNHLbKlBAU3A6kpAEeEOZUY8XX19nOE_de39XVwdjIDs/VpKGN8OzU3xYw-Bcr40pUibvMoZzFdNDaUweObunLb0),gnqjqhpqjvstijfxoqb9.webp (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/F8wLUKp1ly1_rNPh9-URZw/VKEorHf77mNa-o3Hn5LNqtObYoFpN4au1wezIdqYBoFLMPjvOmz0kj_hKDI82epRBsp8XgMBtFLQMs0MnAZMoC1Mod1ZSUwVrgWYp3nfXmaCg0YdXCyT-RLV2icQYi1udlUj-Mqx1xBdt8kyxlqzcJfeE2rcuducfY8d3n65CdE/Rsh9PIvYo5nMY6JPdrgkXRwjKmt_sfdMh9xI_KQQHu4),paflgznaelmnmtxbgezc.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/Yj47mkv0w3iklfBsoYKJRA/ElkxFnSGHA-TEfV5gu9B_aPQs6DfcI9AlzeCgyatG3xMTXWvAEv1Af-TOjQjZ9EaIEO7BXPyUd9BI8XKMOnY0Yd-P9ZpoVZNzkT1wSDzchYJmk83sL-z_qbW-EnSmDwAS6Yo-O8OYilIoAws_lqHYndN4WT2B1S9W2lvnmEvngs/iAF4m8ziG-lN3x-xk35GJ6eCycgs2tu0gR4wN0OTe5Q),e19k1vewt1rat876firn.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/-FatPZ-HtER0-gg8o5Y86w/p7T4X2VC7duOVm7CyDsWrqm3BPNSdMenKHknPtMaP7C2AtSMfiIcalkU-friw8eJfMIoUO6YD0xFZ-Pq6fP2z8BWrC4nxC7G1HfWb7NJnPTYOVcZW-JfUIh1qVLU8uguKQZgwo1Cgkrn1XApw7UwSXTUE3OrStv4lxPNExIZsSU/ZXRS7EkTDNWqIhzEoT2uYQ8-f_iQSWD5V99upNtrJKA),vxcyjqdsnpfthghlrazy.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/nA7L1pX2MrYRkIG-tua74g/s5PTwh-HI6Qmq2Ras74D1yImP1nG_rgDwBqiloLx1Ifp6Od3AcQeo8JOsW_lkfyLjkXa-SuthFPQToS_6HO6QiE9JbsflqKGgjpgAg9XgXHhJOlGPVeHTSWoCyi_KhrZPTF2aGhSC-hK3hC0m_t3fORdg5oao8Xqub3wJ32K34U/2lJ9WJr5p7vKoYmdCfo8e7w8sQTeFxuNdi0wnLDRTUA),o6hzodys9gzzeqyr4hnz.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/oRzXYd8qzmq2Xr44RZOxnQ/FZnF_KvmyVJKn1P9s0zlIgyFXm4NUQ-d5XAhq_LMK0hK-RWDdKNX0oSLbAgO7clA61l_uQjHRN6rQWs8TbQj8A8MPOaGifWGnZx_Jejxn5jmpVOeZfQ2G0FBKC7SxDhq6Idi1Ek5il3VmkHLbb6AZfnxsHGD7DYPr3lYYYD2t2M/gfqdr_nQTMh6tiVaFgxnVuPVU5GVR0cphBgYhFcRQn4),jv95dlv8j64noazogoqh.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/j1rDtvryt7wZnX26heJqcw/zQppqeM3GB-8k_scC4GEbtJP4nyJymoOpWcRcKDFG9Ft8549sQctGikDUGorXCHfu0DGlkmvyTNXKmNJKE960mLR7r3HbKn7_WBgTJA7MrMGlLoNwJ4ddCCvTYmQborjd_LNpV594F8XhbJedOeUOt79KORmu-jIH3R92Q1S1EE/eYRkh-0cvMmmFphaW9ncU_D_QzrtjPMKT4YL8tvIZhc)",2022-03-31 22.11.54.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/HPOpJSzSRv7XN1fCffjw1g/UiY1DTOvK5-rTvZt_co9EuDJjuh2H_hl4urpIVzG8Vr4LIuFRAfaKhivabl-sHy-hlSs-1eMq7mvHyY-QPITB13R1QijuvXwIrd8KPj0QRKZ73dinpEvJ7Q3UpoibUO-P5Jb9qUxc9dkCXZYpw6fba0fc62rUneynpDqGztwuZc/TbzKaYLA0td9tIt1Rjvfki-7XbmBnsfVmfN0OPGisUA),Current,Instrument,Electric Guitar,Epiphone,Casino SF,1996,R96B1344,,2019-06-22,Reverb,$1500.00,$800.00,Strings - 2019-07-10,,,31,https://gearcheck.nicholewagner.com/item/31,reczE1HUxEbnpPMeH,,,E200001D700D002318900613,,
Music Master Fender,"2021-08-09 09.30.06.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/UHbecRaouuFOUG2vT44oQw/QYkKAqqunf2YcSlYuPhSOReXOSBawCWXNoe9AXAU9UyGOONTXVMsYC2eqK9jjHc726zZctbeEX4AL5hC4X0XOags6WNswi3xcOtgPOXgOcJ27gVzZ8NzhQgQCKjHzjtOXfu92d1OCgwcsTFvWRJhIqk9_KKZWA_VQa5Xn1Tp4GA/m8vNYDgc3Dw31oDyjDoYbm77yi-SyyMmskmO0rAnk-0),2021-08-09 09.30.03.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/m8_uNFy8gG6dDtX6Sta3nQ/tflqLnf9TypHgloQDJZAQhVQ58e1XeVaLz-Tni-OTRI3aLvB03Y0y8xbSPHnpUNKmQdBLV_bV6rMLBNsWPDEJt48xiU2llajbl5SQH0I2YYfA3fVGlCqneOJ8Tm0pkuisfjnZDQ9mvVFCRZuFqBci19NIn5WF_y2SwPdLFqidew/QJl51B6iQVe5634b6tDG4MplNUaQWs1lQvJofRAr4xY),2021-08-09 09.30.05.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/90h8uu_Vk36XiMxUHuNb0A/iuS-U-4c9AIzlgcsSZu0oheWVblyQhIIjkjF40cGMdE8ePzAiEtP-SgDsfvOdKAxjzcTU2ksc0XPTNvcWZSlXIVXoJfW6CaQcgrQxiwfM76f8D5aGMB7ObD-yVcgJPTeBuSgaWEi8lrT9dV0Eah7aRKMx6MdfgIArrZF-s9C6pY/1xCHB796p_2RQCxg52YSwYXeTiZXZjHsIXPcpcBFfZc)",2021-08-09 09.30.07.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/_EHuMr7q05C7iUllug9tKQ/0tnlg5o4Mq5dBJE6doIhQJm09EGsxAP7I7CbOiUG6kPxSHCEz5pBR9SzPnUslQfxyLToXPpX14LQa2odm_-0C8nbE7GhB1Sd5FzKmp8YQVIlDayAI1xBSK8LXjRwedjcbn_X-QRpjiT4FZagF8R9JjpUTEF41ZOASXwKmm5IQmg/RdEYLhInecQHTz_I834gsQYvVnv3UkWaPez_EPAeXNI),Current,Instrument,Electric Guitar,Fender,Music Master,1974,621544,,2021-07-28,Reverb,$3000.00,$1515.50,Strings - 2023-08-13,Strap locks,Custom galaxy finish by Bell & Hern,46,https://gearcheck.nicholewagner.com/item/46,rec4V1HEF1xLplyJg,,10/7/2022 3:45pm,E2801160600002136007CD3C,,
Rocket Harmony,"2022-09-02 13.36.36.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/yTUuYZeewFE0NhLsT-cAWw/OIMQtv9jZ15ytmA-wtlDJdvGZ6SdyDAsFgnv4VZqUA-7QOWIEu-IYzBk7fwI8dB6sLIfznA3FuxA5DSTDYm_twIWjrzrISMWvNOdajRej7_wzuhpm4KXD55oU7sUSvbbsT-0LeOLNYQ2-6JOQr-wngdoEvYzx1xnAtf3X1t4P04/Tjq0MGoNtXSuPADO_YKk2JTQBxoQQEhLysbh4gP9Cco),2022-09-02 13.36.27.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/a-LwTSgXr6Ccn5mfPlpYEg/9KeaLAYtvPZLJa6qYAHLZXzipUMewBXGoowFGfQjTHwqtHTSj29HDK-vWeqp0_YzNq3qgZ7HD7yF5WkxCv9iiFXnzH6-o5FksYgfnongMZ0oAqebRMgwTMIeHRrJgiWDDQEc06QNRLXTcTuTWFgUN_BnpRI-QmukQTmyHulGAJg/7eachVJnlGQvrP1GxXfwviWA0OolgPw_wsD0M3nJhj4)",,Current,Instrument,Electric Guitar,Harmony,Rocket,1968,,,2022-09-01,Craigslist,$600.00,$375.00,,,,113,https://gearcheck.nicholewagner.com/item/113,recLAkYCItOgJtheK,,11/4/2022 12:06pm,E280116060000213600799BC,House,
